stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1039,Berdan & Almeda NE,BERDAN AVE & ALMEDA DR,41.688833,-83.580618,,,,,,0
1040,Berdan & Almeda SW,BERDAN AVE & ALMEDA DR,41.688739,-83.581573,,,,,,0
1041,Berdan & Bellevue SE,BERDAN AVE & BELLEVUE RD,41.688971,-83.596646,,,,,,0
1042,Berdan & Drexel NE,BERDAN AVE & DREXEL DR,41.688986,-83.567677,,,,,,0
1043,Berdan & Hoiles NE,BERDAN AVE & HOILES AVE,41.688936,-83.57396,,,,,,0
1044,Berdan & Homewood SW,BERDAN AVE & HOMEWOOD AVE,41.688823,-83.574079,,,,,,0
1045,Berdan & Jackman NW,BERDAN AVE & JACKMAN RD,41.688767,-83.585118,,,,,,0
1046,Berdan & Jackman SW,BERDAN AVE & JACKMAN RD,41.688667,-83.585163,,,,,,0
1047,Berdan & Kelly NE,BERDAN AVE & KELLEY AVE,41.688684,-83.59171,,,,,,0
1048,Berdan & Kelly SW,BERDAN AVE & KELLEY AVE,41.688627,-83.592372,,,,,,0
1049,Berdan & Kershaw NE,BERDAN AVE & KERSHAW AVE,41.689018,-83.60091,,,,,,0
1050,Berdan & Kershaw SW,BERDAN AVE & KERSHAW AVE,41.688938,-83.601605,,,,,,0
1051,Berdan & Leybourn NE,BERDAN AVE & LEYBOURN AVE,41.688854,-83.57866,,,,,,0
1052,Berdan & Leybourn SW,BERDAN AVE & LEYBOURN AVE,41.688757,-83.579436,,,,,,0
1053,Berdan & Martha NE,BERDAN AVE & MARTHA AVE,41.689084,-83.565217,,,,,,0
1054,Berdan & Martha SW,BERDAN AVE & MARTHA AVE,41.688964,-83.566164,,,,,,0
1055,Berdan & Matlack NE,BERDAN AVE & MATLACK AVE,41.688752,-83.586836,,,,,,0
1056,Berdan & Matlack SW,BERDAN AVE & MATLACK AVE,41.688652,-83.587382,,,,,,0
1057,Bennett & Alexis SE,BENNETT RD & W ALEXIS RD,41.721555,-83.556837,,,,,,0
1058,Bennett & Branbury NW,BENNETT RD & BRANBURY RD,41.714258,-83.556706,,,,,,0
1059,Bennett & Branbury SE,BENNETT RD & BRANBURY RD,41.713465,-83.556591,,,,,,0
1060,Bennett & Boxhall SE,BENNETT RD & BOXHALL RD,41.712545,-83.556583,,,,,,0
1061,Bennett & California NW,BENNETT RD & CALIFORNIA BLVD,41.703523,-83.556457,,,,,,0
1064,Bennett & Clara NE,BENNETT RD & CLARA AVE,41.695724,-83.555989,,,,,,0
1065,Bennett & Clara NW,BENNETT RD & CLARA AVE,41.695863,-83.55615,,,,,,0
1066,Bennett & Clara SE,BENNETT RD & CLARA AVE,41.694846,-83.555994,,,,,,0
1067,Bennett & Cloverdale NW,BENNETT RD & CLOVERDALE RD,41.710679,-83.556721,,,,,,0
1068,Bennett & Coeli NW,BENNETT RD & COELI DR,41.720527,-83.556929,,,,,,0
1069,Bennett & Coeli NE,BENNETT RD & COELI DR,41.720627,-83.556772,,,,,,0
1071,Bennett & Dryden NW,BENNETT RD & DRYDEN DR,41.698915,-83.556261,,,,,,0
1072,Bennett & Dryden SE,BENNETT RD & DRYDEN DR,41.69658,-83.556047,,,,,,0
1073,Bennett & Gramercy SE,BENNETT RD & W GRAMERCY AVE,41.703882,-83.556343,,,,,,0
1074,Bennett & Laskey NW,BENNETT RD & W LASKEY RD,41.707738,-83.556611,,,,,,0
1075,Bennett & Mayfair NW,BENNETT RD & MAYFAIR BLVD,41.712088,-83.556671,,,,,,0
1076,Bennett & Mayfair SE,BENNETT RD & MAYFAIR BLVD,41.711497,-83.556567,,,,,,0
1077,Bennett & Northdale NW,BENNETT RD & NORTHDALE DR,41.717099,-83.556788,,,,,,0
1078,Bennett & Northdale SE,BENNETT RD & NORTHDALE DR,41.716625,-83.556689,,,,,,0
